127.0.0.1 - - [30/Jan/2023:11:23:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/ HTTP/1.1" 200 46577
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/lib/waypoints/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/lib/tempusdominus/js/moment-timezone.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/lib/tempusdominus/js/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/css/bootstrap.min.css HTTP/1.1" 200 161819
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/lib/easing/easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/lib/tempusdominus/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/img/carousel-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/img/about.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/img/car-rent-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/img/car-rent-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/img/carousel-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/img/car-rent-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/img/team-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/img/car-rent-5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/img/car-rent-6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/img/car-rent-4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/img/team-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/img/team-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/img/banner-left.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:11:23:07 +0900] "GET /carwow/resources/img/team-4.jpg HTTP/1.1" 304 -
